eval,variant,splay_deg,outer_axis_in,n_episodes,n_falls,walk_tip_fwd_p50,walk_tip_fwd_p10,walk_lead_tip_p50,walk_lead_tip_p10,walk_fwd_margin_p50,walk_frac_neg,prefall_tip_fwd_p50,prefall_tip_fwd_p10,prefall_lead_tip_p50,prefall_lead_tip_p10,prefall_fwd_margin_p50,prefall_frac_neg,prefall_frac_underdetermined,half_base_m,sweep_overlap_m,lateral_reach_loss_mm,cos_alpha,sideways_reachable
gait_income_phaseout/2026-09-02_06-52-54,base,0.0,5.5,100,21,6.851548015754098,1.748008720670114,18.130578059953148,14.094218207118384,0.11898133295493607,0.03869779844764369,1.6657448323288329,-4.369620795293205,6.385466560960936,-0.6469390289043335,0.029501109548687215,0.3333333333333333,0.4222222222222222,0.21589999999999998,0.331559696258902,0.0,1.0,True
gait_income_phaseout/2026-09-02_06-52-54,A-20ctrl,-20.0,5.5,100,21,0.992661649472483,-3.6016026829057037,7.075286724588768,2.9246824469931787,0.017107787606686548,0.3999460326026571,-8.409958147651356,-14.793324633228893,-4.980555636887296,-11.477083606707652,-0.14418441748845912,0.967032967032967,0.4222222222222222,0.21589999999999998,0.5530861430909376,39.06108951696711,0.9396926207859084,True
gait_income_phaseout/2026-09-02_06-52-54,B,0.0,2.5,100,21,8.804364189137258,3.685695383710479,21.96534494677192,18.049069823222105,0.1535100612897965,0.014761670449675402,5.460943799273873,-1.1556130171461474,10.293685856874887,3.2618564053600205,0.09828857420251075,0.152014652014652,0.4222222222222222,0.29209999999999997,0.25535969625890204,0.0,1.0,True
gait_income_phaseout/2026-09-02_06-52-54,A10,10.0,5.5,100,21,9.527837807819195,4.38860042902218,22.797853031381862,18.986741954823497,0.16622562166499671,0.011253789622386946,6.622080203481357,0.0036328591580093578,11.324170385551916,4.432057359587845,0.1194866483549997,0.10073260073260074,0.4222222222222222,0.32837192467487075,0.21908777158403125,9.840018373992864,0.984807753012208,True
gait_income_phaseout/2026-09-02_06-52-54,A15,15.0,5.5,100,21,10.829466357714535,5.6987360765451305,24.86193467437964,21.18650463086467,0.18969289249025312,0.00796812749003984,8.920488961175069,1.8642609407352189,13.539991525298971,6.728514427328977,0.1646242348266928,0.04212454212454213,0.4222222222222222,0.38353709551290266,0.16392260074599935,22.06984231257045,0.9659258262890683,True
gait_income_phaseout/2026-09-02_06-52-54,A20,20.0,5.5,100,21,12.121773148761957,7.014370104955881,26.735660240750516,23.195073448362816,0.21309963967961604,0.007174489293820733,11.141048690584652,3.7089330194668904,15.593087167508314,9.075210082309244,0.20767720586221955,0.014652014652014652,0.4222222222222222,0.4374264468320356,0.11003324942686643,39.06108951696711,0.9396926207859084,True
gait_income_phaseout/2026-09-02_06-52-54,A10+B,10.0,2.5,100,21,11.465753485066887,6.343707483419957,26.37660963760529,22.70388838100515,0.201140462972776,0.007396707988762083,10.295663909948225,2.82293244929431,15.061728362243336,8.213150461194635,0.19208793403311808,0.02564102564102564,0.4222222222222222,0.40457192467487074,0.14288777158403126,9.840018373992864,0.984807753012208,True
gait_income_phaseout/2026-09-02_06-52-54,A15+B,15.0,2.5,100,21,12.780907865900492,7.6690827972903435,28.316943203148693,24.780003451494512,0.22504411254492168,0.006952270598879383,12.559811935262374,4.663875193728268,17.136045343827156,10.492135785129886,0.23725768989439838,0.009157509157509158,0.4222222222222222,0.45973709551290265,0.08772260074599936,22.06984231257045,0.9659258262890683,True
gait_income_phaseout/2026-09-02_06-52-54,A20+B,20.0,2.5,100,21,14.081459280302461,8.99954141461848,30.07337334404034,26.663361951364777,0.24878131819931132,0.006809415723559944,14.634476560317605,6.388593933498721,19.06564814805205,12.657569865402856,0.28091988431237375,0.003663003663003663,0.4222222222222222,0.5136264468320355,0.033833249426866496,39.06108951696711,0.9396926207859084,True
gait_income_phaseout_obst_light/2026-09-02_16-40-21,base,0.0,5.5,100,74,6.312717159694506,0.4933795493182721,17.52567470834552,11.525147020087655,0.11003625478859684,0.08415684616604133,1.0501118021941607,-4.570418345939084,6.587947490990305,0.03230133132922723,0.018197539600344995,0.42552026286966044,0.45165165165165166,0.21589999999999998,0.331559696258902,0.0,1.0,True
